goldcool, 23,5,
0,0,10000,8400,84,
1,0,20000,8400,84,
2,0,40000,8400,84,
3,1,100000,8400,84,
4,1,150000,8400,120,
5,1,200000,8400,168,
6,2,300000,8400,240,
7,2,500000,8400,300,
8,2,1000000,8400,336,
9,3,1500000,8400,420,
10,3,2000000,8400,560,
11,3,2500000,8400,1050,
12,4,3000000,8400,1680,
13,4,3500000,8400,2800,
14,4,4000000,8400,5600,
15,4,4500000,8400,8400,
16,4,5000000,8400,11200,
17,4,5500000,8400,16800,
18,4,6000000,8400,22400,
19,4,6500000,8400,33600,
20,4,7000000,8400,56000,
21,4,7500000,8400,56000,
22,4,8000000,8400, 56000 

