goldcool, 1149,5,
1,"mw01s",0,11601,0,
2,"mw02s",0,11601,0,
3,"mw03s",0,11601,0,
4,"mw04s",0,11601,0,
5,"mw05s",0,11601,0,
6,"mw06s",0,11601,0,
7,"mw07s",0,11601,0,
8,"mw08s",0,11601,0,
201,"mg01s",0,11602,0,
202,"mg02s",0,11602,0,
203,"mg03s",0,11602,0,
204,"mg04s",0,11602,0,
205,"mg05s",0,11602,0,
206,"mg06s",0,11602,0,
207,"mg07s",0,11602,0,
208,"mg08s",0,11602,0,
401,"mz01s",0,11603,0,
402,"mz02s",0,11603,0,
403,"mz03s",0,11603,0,
404,"mz04s",0,11603,0,
405,"mz05s",0,11603,0,
406,"mz06s",0,11603,0,
407,"mz07s",0,11603,0,
408,"mz08s",0,11603,0,
10601,"mf01sy",0,0,0,
601,"mf01s",0,10601,0,
602,"mf02s",0,10601,0,
603,"mf03s",0,10601,0,
604,"mf04s",0,10601,0,
605,"mf05s",0,10601,0,
606,"mf06s",0,10601,0,
607,"mf07s",0,10601,0,
608,"mf08s",0,10601,0,
801,"ww01s",0,11605,0,
802,"ww02s",0,11605,0,
803,"ww03s",0,11605,0,
804,"ww04s",0,11605,0,
805,"ww05s",0,11605,0,
806,"ww06s",0,11605,0,
807,"ww07s",0,11605,0,
808,"ww08s",0,11605,0,
1001,"wg01s",0,11606,0,
1002,"wg02s",0,11606,0,
1003,"wg03s",0,11606,0,
1004,"wg04s",0,11606,0,
1005,"wg05s",0,11606,0,
1006,"wg06s",0,11606,0,
1007,"wg07s",0,11606,0,
1008,"wg08s",0,11606,0,
1201,"wz01s",0,11607,0,
1202,"wz02s",0,11607,0,
1203,"wz03s",0,11607,0,
1204,"wz04s",0,11607,0,
1205,"wz05s",0,11607,0,
1206,"wz06s",0,11607,0,
1207,"wz07s",0,11607,0,
1208,"wz08s",0,11607,0,
1401,"wf01s",0,11608,0,
1402,"wf02s",0,11608,0,
1403,"wf03s",0,11608,0,
1404,"wf04s",0,11608,0,
1405,"wf05s",0,11608,0,
1406,"wf06s",0,11608,0,
1407,"wf07s",0,11608,0,
1408,"wf08s",0,11608,0,
251,"mg01w",12,10251,7014,
10251,"mg01wy",1,0,0,
252,"mg02w",11,10252,7015,
10252,"mg02wy",1,0,0,
253,"mg03w",12,10253,7014,
10253,"mg03wy",1,0,0,
254,"mg04w",12,10253,7014,
255,"mg05w",11,10252,7015,
256,"mg06w",12,10253,7014,
257,"mg07w",12,10253,7014,
258,"mg08w",11,10252,7015,
259,"mg09w",12,10253,7014,
260,"mg10w",12,10253,7014,
261,"mg11w",11,10252,7015,
262,"mg12w",12,10253,7014,
263,"mg13w",12,10253,7014,
264,"mg14w",11,10252,7015,
265,"mg15w",12,10253,7014,
266,"mg16w",12,10253,7014,
267,"mg17w",11,10252,7015,
268,"mg18w",12,10253,7014,
651,"mf01w",1,10651,7018,
10651,"mf01wy",1,0,0,
652,"mf02w",1,10652,7019,
