goldcool, 485,6,
"男鼠1001",1001,1,0,2001,1,
"女鼠1002",1002,1,0,2001,2,
"男牛1003",1003,1,0,2002,3,
"女牛1004",1004,1,0,2002,4,
"男虎1005",1005,1,0,2003,5,
"女虎1006",1006,1,0,2003,6,
"女兔1007",1007,1,0,2004,7,
"男兔1008",1008,1,0,2004,8,
"男龙1009",1009,1,0,2005,9,
"女龙1010",1010,1,0,2005,10,
"男蛇1011",1011,1,0,2006,11,
"女蛇1012",1012,1,0,2006,12,
"男马1013",1013,1,0,2007,13,
"女马1014",1014,1,0,2007,14,
"南羊1015",1015,1,0,2008,15,
"女羊1016",1016,1,0,2008,16,
"男猴1017",1017,1,0,2009,17,
"女猴1018",1018,1,0,2009,18,
"男鸡1019",1019,1,0,2010,19,
"女鸡1020",1020,1,0,2010,20,
"男狗1021",1021,1,0,2011,21,
"女狗1022",1022,1,0,2011,22,
"男猪1023",1023,1,0,2012,23,
"女猪1024",1024,1,0,2012,24,
"男鼠1001",1025,1,0,2013,1,
"女鼠1002",1026,1,0,2013,2,
"男牛1003",1027,1,0,2014,3,
"女牛1004",1028,1,0,2014,4,
"男虎1005",1029,1,0,2015,5,
"女虎1006",1030,1,0,2015,6,
"女兔1007",1031,1,0,2016,7,
"男兔1008",1032,1,0,2016,8,
"男龙1009",1033,1,0,2017,9,
"女龙1010",1034,1,0,2017,10,
"男蛇1011",1035,1,0,2018,11,
"女蛇1012",1036,1,0,2018,12,
"男马1013",1037,1,0,2019,13,
"女马1014",1038,1,0,2019,14,
"南羊1015",1039,1,0,2020,15,
"女羊1016",1040,1,0,2020,16,
"男猴1017",1041,1,0,2021,17,
"女猴1018",1042,1,0,2021,18,
"男鸡1019",1043,1,0,2022,19,
"女鸡1020",1044,1,0,2022,20,
"男狗1021",1045,1,0,2023,21,
"女狗1022",1046,1,0,2023,22,
"男猪1023",1047,1,0,2024,23,
"女猪1024",1048,1,0,2024,24,
"男鼠1001",1049,1,0,1001,1,
"女鼠1002",1050,1,0,1002,2,
"男牛1003",1051,1,0,1003,3,
"女牛1004",1052,1,0,1004,4,
"男虎1005",1053,1,0,1005,5,
"女虎1006",1054,1,0,1006,6,
"女兔1007",1055,1,0,1007,7,
"男兔1008",1056,1,0,1008,8,
"男龙1009",1057,1,0,1009,9,
"女龙1010",1058,1,0,1010,10,
"男蛇1011",1059,1,0,1011,11,
"女蛇1012",1060,1,0,1012,12,
"男马1013",1061,1,0,1013,13,
"女马1014",1062,1,0,1014,14,
"南羊1015",1063,1,0,1015,15,
"女羊1016",1064,1,0,1016,16,
"男猴1017",1065,1,0,1017,17,
"女猴1018",1066,1,0,1018,18,
"男鸡1019",1067,1,0,1019,19,
"女鸡1020",1068,1,0,1020,20,
"男狗1021",1069,1,0,1021,21,
"女狗1022",1070,1,0,1022,22,
"男猪1023",1071,1,0,1023,23,
"女猪1024",1072,1,0,1024,24,
"仓库管理员",3001,3,0,3001,0,
"典当员",3002,3,0,3006,0,
"王世户",3003,3,0,3003,0,
"白员外",3004,3,0,3062,0,
"马元财",3005,3,0,3020,0,
"小妖怪",3006,3,0,5006,0,
"庄稼田小野猪",3007,3,0,5007,0,
"铁匠(灵霄城)",3008,3,0,3025,0,
"唐媚娘",3009,3,0,3039,0,
"贤客集",3010,3,0,3016,0,
"店小二(灵霄城)",3011,3,0,3038,0,
"杂货商(灵霄城)",3012,3,0,3004,0,
"幽盅儿",3013,3,0,3026,0,
"卖艺人",3014,3,0,3015,0,
"钱来也",3015,3,0,3050,0,
"首饰老板(灵霄城)",3016,3,0,3023,0,
"赌场老板(灵霄城)",3017,3,0,5021,0,
"悍小工",3018,3,0,3001,0,
"奸商",3019,3,0,3014,0,
"士兵刀",3020,3,0,3021,0,
"士兵枪",3021,3,0,3022,0,
"黑统领",3022,3,0,3013,0,
"花爷爷",3023,3,0,3017,0,
"老人女",3024,3,0,3018,0,
"小孩男(灵霄城)",3025,3,0,3027,0,
"小孩女(灵霄城)",3026,3,0,3028,0,
"大婶(新手村)",3027,3,0,3005,0,
"花晴月",3028,3,0,3042,0,
"壮汗",3029,3,0,3088,0,
"蓝广知",3030,3,0,3024,0,
"贵族男(灵霄城)",3031,3,0,3040,0,
"贵族女(灵霄城)",3032,3,0,3010,0,
"秦叔宝(灵霄城)",3033,3,0,5033,0,
"尉迟恭3034",3034,3,0,5035,0,
"小倩",3035,3,0,5029,0,
"小倩的鬼魂",3036,3,0,5029,0,
"游荡的饿鬼",3037,3,0,5027,0,
"游荡的野鬼",3038,3,0,5037,0,
"山贼",3039,3,0,5023,0,
"柳树怪",3040,3,0,5017,0,
"桃树怪",3041,3,0,5020,0,
"猪八戒",3042,3,0,3030,0,
"蜘蛛老妖",3043,3,0,5003,0,
"李靖(人型)",3044,3,0,3073,0,
"碧云童子",3045,3,0,5011,0,
"彩云童子",3046,3,0,5012,0,
"石矶娘娘",3047,3,0,5018,0,
"受难者(弱)",3048,3,0,5028,0,
"持锅妖怪(甲)",3049,3,0,5024,0,
"一层地狱武官",3050,3,0,5025,0,
"黑熊精",3051,3,0,5014,0,
"敖广(人型)",3052,3,0,5031,0,
"瘟神",3053,3,0,3001,0,
"仙鹤童子(新手村)",3054,3,0,5089,0,
"金迷遥",3055,3,0,5070,0,
"野猪头领",3056,3,0,5047,0,
"母狼",3057,3,0,5045,0,
"丐舀贩",3058,3,0,3075,0,
"半仙(灵霄城)",3059,3,0,3063,0,
"瞎算算",3060,3,0,3105,0,
"恶鬼",3061,3,0,5026,0,
"小恶灵",3062,3,0,5027,0,
"疯狂的恶灵",3063,3,0,5027,0,
"贪官",3064,3,0,3080,0,
"姜捕头",3065,3,0,5077,0,
"打更人(灵霄城)",3066,3,0,3092,0,
"皇帝(灵霄城)",3067,3,0,3072,0,
"贫穷小女孩(灵霄城)",3068,3,0,3074,0,
"贵公子(灵霄城)",3069,3,0,3096,0,
"金大婶",3070,3,0,3068,0,
"花花公子(灵霄城)",3071,3,0,3071,0,
"药商(灵霄城)",3072,3,0,3029,0,
"金不换",3073,3,0,5075,0,
"山贼头领",3074,3,0,5071,0,
"黑风妖道",3075,3,0,5068,0,
"刺客",3076,3,0,5067,0,
"文美美",3077,3,0,5074,0,
"黑无偿3078",3078,3,0,3001,0,
"白无偿(南园林)",3079,3,0,5078,0,
"老农(甲)",3080,3,0,3017,0,
"包子贩(灵霄城)",3081,3,0,3064,0,
"老婆婆(灵霄城)",3082,3,0,5069,0,
"梅",3083,3,0,5062,0,
