goldcool, 128, 13 
1,2,5001,5002,0,0,18,"S甲虫蜻蜓",4,121,4,8,2,
2,2,5001,5002,0,0,16,"M甲虫蜻蜓",4,121,4,8,2,
3,2,5003,5002,0,0,15,"M野猪甲虫",4,121,6,10,2,
4,2,5034,5037,0,0,16,"M草精花妖",0,1,8,12,24,
5,2,5017,5025,0,0,18,"S山贼强盗",3,111,8,12,24,
6,2,5017,5025,0,0,16,"M山贼强盗",4,111,8,12,24,
7,2,5026,5023,0,0,20,"S土匪小偷",3,1,9,12,1,
8,2,5035,5036,0,0,18,"S大青虫壁虎",4,106,10,14,3,
9,2,5035,5036,0,0,16,"M大青虫壁虎",4,106,10,14,3,
10,3,5038,5037,0,0,16,"M树精花妖",3,1,12,14,1,
11,2,5026,5023,0,0,18,"S土匪小偷",4,115,10,14,25,
12,3,5026,5023,0,0,16,"M土匪小偷",4,115,10,14,25,
13,3,5026,5023,0,0,16,"M土匪小偷",3,115,12,20,26,
14,3,5026,5023,0,0,16,"M土匪小偷",0,1,10,14,1,
15,3,5050,5051,0,0,16,"M饿鬼受难者",3,123,26,30,4,
16,3,5050,5051,0,0,14,"L饿鬼受难者",3,131,24,28,4,
17,3,5038,5037,0,0,16,"M树精花妖",4,113,28,32,5,
18,3,5038,5034,5037,0,14,"L树精草精花妖",2,113,29,32,5,
19,3,5038,5037,5034,0,16,"M花妖草精",4,113,28,32,5,
20,3,5038,5037,5034,0,14,"L树精花妖草精",2,113,32,35,5,
21,2,5017,5025,0,0,20,"S山贼强盗",0,1,11,14,1,
22,2,5009,5003,0,0,16,"S幼豹野猪",3,102,18,22,15,
23,2,5079,5074,0,0,16,"M红叶精四星虫",2,102,18,22,15,
24,2,5009,5003,0,0,18,"M幼豹野猪",3,102,18,22,15,
25,3,5066,5067,0,0,18,"M绿叶精枯木兽",4,128,32,36,20,
26,2,5009,5003,0,0,16,"S饿豹野猪",4,103,16,20,16,
27,3,5066,5067,0,0,18,"S绿叶精枯木兽",4,128,32,36,20,
28,2,5079,5074,0,0,16,"M四星瓢虫红叶精",3,103,16,20,16,
29,2,5232,5233,0,0,20,"S食人花巨柄菇",3,137,49,53,27,
30,3,5232,5233,0,0,16,"M食人花巨柄菇",3,137,49,53,27,
31,2,5198,5199,0,0,20,"S硬甲龟铁钳蟹",3,139,51,55,28,
32,3,5198,5199,0,0,16,"M硬甲龟铁钳蟹",3,139,51,55,28,
33,2,5026,5023,5017,0,16,"S土匪小偷山贼",0,1,28,32,29,
34,3,5035,5036,0,0,16,"S大青虫壁虎",0,1,28,32,29,
