goldcool, 71, 2 
0,1,
1,100,
2,200,
3,300,
4,600,
5,1000,
6,1500,
7,2000,
8,3000,
9,4000,
10,6000,
11,8000,
12,10000,
13,12000,
14,14000,
15,16000,
16,19000,
17,22000,
18,25000,
19,28000,
20,30000,
21,35000,
22,40000,
23,45000,
24,50000,
25,55000,
26,60000,
27,65000,
28,70000,
29,75000,
30,120000,
31,168000,
32,216000,
33,264000,
34,312000,
35,360000,
36,408000,
37,456000,
38,504000,
39,552000,
40,600000,
41,636000,
42,672000,
43,708000,
44,744000,
45,780000,
46,816000,
47,852000,
48,888000,
49,924000,
50,1500000,
51,1560000,
52,1620000,
53,1680000,
54,1740000,
55,1800000,
56,1860000,
57,1920000,
58,1980000,
59,2040000,
60,2400000,
61,3000000,
62,3075000,
63,3150000,
64,3225000,
65,3300000,
66,3375000,
67,4158000,
68,5190000,
69,7087440,
70,9464400,
71,14764464,
72,19193803,
73,24951943,
74,32437526,
75,42168783,
76,47119012,
77,53924248,
78,60729484,
79,67534722,
80,74339958,
81,81145195,
82,87950430,
83,94755667,
84,101560904,
85,108366139,
86,115171376,
87,121976612,
88,128781849,
89,135587085,
90,142392321,
91,149197558,
92,156002793,
93,162808030,
94,169613268,
95,176418504,
96,183223740,
97,190028976,
98,196834213,
99,203639450,
100, 210444685 

