goldcool, 22,13,
1,2230,30,2231,30,2234,3,0,0,0,0,0,0,
2,2230,50,2231,50,2234,5,0,0,0,0,0,0,
3,2230,30,2231,30,2234,3,0,0,0,0,0,0,
4,2230,50,2231,50,2234,5,0,0,0,0,0,0,
5,2232,30,2233,30,2234,3,0,0,0,0,0,0,
6,2232,50,2233,50,2234,5,0,0,0,0,0,0,
7,2232,30,2233,30,2234,3,0,0,0,0,0,0,
8,2232,50,2233,50,2234,5,0,0,0,0,0,0,
9,2249,50,2244,60,2245,60,0,0,0,0,2248,4,
10,2253,50,2244,50,2245,50,0,0,0,0,2248,4,
11,2250,200,2251,200,2252,400,0,0,0,0,2254,10,
12,2249,50,2246,60,2247,60,0,0,0,0,2248,4,
13,2230,100,2231,100,2234,7,0,0,0,0,0,0,
14,2232,100,2233,100,2234,7,0,0,0,0,0,0,
15,2249,100,2244,100,2245,100,0,0,0,0,2248,6,
16,2253,100,2244,90,2245,90,0,0,0,0,2248,6,
17,2250,400,2251,400,2252,600,0,0,0,0,2254,20,
18,2249,100,2246,100,2247,100,0,0,0,0,2248,6,
19,2249,150,2244,150,2245,150,0,0,0,0,2248,10,
20,2253,100,2244,135,2245,135,0,0,0,0,2248,10,
21,2250,600,2251,600,2252,1000,0,0,0,0,2254,40,
22,2249,150,2246,150,2247,150,0,0,0,0,2248, 10 

