goldcool, 5544,9,
5002,0,5000,9003,1,23003,1,5,10000,
5002,0,5000,9003,1,23121,0,3,5000,
5002,1,5000,9003,1,23015,1,5,10000,
5002,1,5000,9003,1,23121,0,3,5000,
5003,0,5000,9003,1,23003,1,5,10000,
5003,0,5000,9003,1,23121,0,3,5000,
5003,1,5000,9003,1,23015,1,5,10000,
5003,1,5000,9003,1,23121,0,3,5000,
5004,0,5000,9003,1,23003,1,5,10000,
5004,0,5000,9003,1,23121,0,3,5000,
5004,1,5000,9003,1,23015,1,5,10000,
5004,1,5000,9003,1,23121,0,3,5000,
5005,0,5000,9003,1,23003,1,5,10000,
5005,0,5000,9003,1,23121,1,3,10000,
5005,1,5000,9003,1,23015,1,5,10000,
5005,1,5000,9003,1,23121,1,3,10000,
5006,0,5000,9003,1,23003,1,5,10000,
5006,0,5000,9003,1,23121,1,3,10000,
5006,1,5000,9003,1,23015,1,5,10000,
5006,1,5000,9003,1,23121,1,3,10000,
5007,0,5000,9003,1,23003,1,5,10000,
5007,0,5000,9003,1,23121,1,3,10000,
5007,1,5000,9003,1,23015,1,5,10000,
5007,1,5000,9003,1,23121,1,3,10000,
5008,0,5000,9003,1,23003,1,5,10000,
5008,0,5000,9003,1,23121,1,5,10000,
5008,1,5000,9003,1,23015,1,5,10000,
5008,1,5000,9003,1,23121,1,5,10000,
5009,0,5000,9003,1,23003,1,5,10000,
5009,0,5000,9003,1,23121,1,5,10000,
5009,1,5000,9003,1,23015,1,5,10000,
5009,1,5000,9003,1,23121,1,5,10000,
5010,0,5000,9003,1,23003,1,5,10000,
5010,0,5000,9003,1,23121,1,5,10000,
5010,1,5000,9003,1,23015,1,5,10000,
5010,1,5000,9003,1,23121,1,5,10000,
5102,0,5000,9003,1,23003,1,5,10000,
5102,0,5000,9003,1,23121,0,3,5000,
5102,1,5000,9003,1,23015,1,5,10000,
5102,1,5000,9003,1,23121,0,3,5000,
5103,0,5000,9003,1,23003,1,5,10000,
5103,0,5000,9003,1,23121,0,3,5000,
5103,1,5000,9003,1,23015,1,5,10000,
5103,1,5000,9003,1,23121,0,3,5000,
5104,0,5000,9003,1,23003,1,5,10000,
5104,0,5000,9003,1,23121,0,3,5000,
5104,1,5000,9003,1,23015,1,5,10000,
5104,1,5000,9003,1,23121,0,3,5000,
5011,0,5000,9003,2,23002,1,5,10000,
5011,0,5000,9003,2,23122,0,3,5000,
5011,1,5000,9003,2,23004,1,5,10000,
5011,1,5000,9003,2,23122,0,3,5000,
5012,0,5000,9003,2,23002,1,5,10000,
5012,0,5000,9003,2,23122,0,3,5000,
5012,1,5000,9003,2,23004,1,5,10000,
5012,1,5000,9003,2,23122,0,3,5000,
5013,0,5000,9003,2,23002,1,5,10000,
5013,0,5000,9003,2,23122,0,3,5000,
5013,1,5000,9003,2,23004,1,5,10000,
5013,1,5000,9003,2,23122,0,3,5000,
5014,0,5000,9003,2,23002,1,5,10000,
5014,0,5000,9003,2,23122,1,3,10000,
5014,1,5000,9003,2,23004,1,5,10000,
5014,1,5000,9003,2,23122,1,3,10000,
