goldcool, 24,13,
0,0,1,0,-1,1,0,-1,-2,2,0,0,0,
1,1,0,0,0,0,2,-2,-1,0,1,-1,0,
2,0,0,0,0,0,-1,2,0,-2,0,1,0,
3,-1,0,0,0,0,0,0,2,0,-1,1,1,
4,1,0,0,0,0,0,0,0,1,2,-1,0,
5,0,2,-2,0,0,0,0,0,0,1,0,-1,
6,-1,-2,1,0,0,0,0,2,0,0,1,0,
7,0,-2,0,2,0,0,1,0,0,0,-1,1,
8,2,0,-2,0,2,0,0,0,0,0,0,-1,
9,0,1,0,-1,2,1,0,0,0,0,0,0,
10,0,-1,1,1,-2,0,0,0,0,0,0,2,
11,0,0,0,1,2,-1,0,0,-2,0,0,1,
12,1,0,0,-2,1,-1,0,0,2,-1,0,0,
13,0,1,0,0,-2,0,2,-1,0,-1,2,-1,
14,0,0,1,0,0,-1,1,0,0,-1,2,-2,
15,-2,0,0,1,-1,0,-1,1,0,0,0,2,
16,2,-1,0,0,1,0,0,-2,1,0,0,-1,
17,-1,1,0,0,0,1,-2,0,0,2,-1,0,
18,0,0,2,-1,0,0,1,0,0,-2,1,-1,
19,-1,0,0,2,0,0,0,1,-2,0,-1,1,
20,1,0,1,-1,2,-1,0,1,0,0,0,-2,
21,-2,2,0,0,0,-1,-1,2,0,1,0,0,
22,0,-2,1,-1,0,0,2,-1,0,0,1,0,
23,0,0,-2,1,-1,0,0,2,-1,0,0, 1 

