goldcool, 20,24,
1,19,0,3,7,12,18,25,33,42,52,63,75,88,102,117,133,150,168,187,207,228,250,250,
2,21,0,3,7,12,18,25,33,42,52,63,75,88,102,117,133,150,168,187,207,228,250,250,
3,19,0,3,7,12,18,25,33,42,52,63,75,88,102,117,133,150,168,187,207,228,250,250,
4,21,0,3,7,12,18,25,33,42,52,63,75,88,102,117,133,150,168,187,207,228,250,250,
101,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
102,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
103,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
104,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
105,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
106,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
107,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
108,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
109,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
110,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
111,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
112,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
113,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
114,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
115,8,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85,85,
116,10,0,2,4,6,8,10,13,16,19,22,25,28,32,36,40,45,50,55,65,75,85, 85 

