goldcool, 71, 2 
0,1,
1,50,
2,100,
3,150,
4,300,
5,500,
6,750,
7,1000,
8,1500,
9,2000,
10,3000,
11,4000,
12,5000,
13,6000,
14,7000,
15,8000,
16,9500,
17,11000,
18,12500,
19,14000,
20,15000,
21,17500,
22,20000,
23,22500,
24,25000,
25,27500,
26,30000,
27,32500,
28,35000,
29,37500,
30,50000,
31,70000,
32,90000,
33,110000,
34,130000,
35,150000,
36,170000,
37,190000,
38,210000,
39,230000,
40,250000,
41,265000,
42,280000,
43,295000,
44,310000,
45,325000,
46,340000,
47,355000,
48,370000,
49,385000,
50,625000,
51,650000,
52,675000,
53,700000,
54,725000,
55,750000,
56,775000,
57,800000,
58,825000,
59,850000,
60,1000000,
61,1250000,
62,1281250,
63,1312500,
64,1343750,
65,1375000,
66,1406250,
67,1437500,
68,1468750,
69,1500000,
70,1875000,
71,2868750,
72,2925000,
73,2981250,
74,3037500,
75,3093750,
76,3150000,
77,3206250,
78,3262500,
79,3318750,
80,5062500,
81,5146875,
82,5231250,
83,5315625,
84,5400000,
85,8775000,
86,8910000,
87,9045000,
88,9180000,
89,9315000,
90,17010000,
91,17253000,
92,17496000,
93,17739000,
94,17982000,
95,36450000,
96,36936000,
97,37422000,
98,37908000,
99,38394000,
100, 38880000 

