goldcool, 27,13,
"角色1001",1001,1,1,1,20,10,25,5,250,50,100,0,
"角色1002",1002,1,1,1,20,10,25,5,250,50,101,0,
"角色1003",1003,1,2,1,10,20,18,12,180,120,100,0,
"角色1004",1004,1,2,1,10,20,18,12,180,120,100,0,
"角色1005",1005,1,3,1,15,10,20,15,200,150,100,0,
"角色1006",1006,1,3,1,15,10,20,15,200,150,100,0,
"角色1007",1007,1,4,1,10,10,15,15,150,250,100,0,
"角色1008",1008,1,4,1,10,10,15,15,150,250,100,0,
"角色1009",1009,1,5,1,20,10,25,5,250,50,100,0,
"角色1010",1010,1,5,1,20,10,25,5,250,50,100,0,
"角色1011",1011,1,6,1,10,20,18,12,180,120,100,0,
"角色1012",1012,1,6,1,10,20,18,12,180,120,100,0,
"角色1013",1013,1,7,1,15,10,20,15,200,150,100,0,
"角色1014",1014,1,7,1,15,10,20,15,200,150,100,0,
"角色1015",1015,1,8,1,10,10,15,15,150,250,100,0,
"角色1016",1016,1,8,1,10,10,15,15,150,250,100,0,
"角色1017",1017,1,9,1,20,10,25,5,250,50,100,0,
"角色1018",1018,1,9,1,20,10,25,5,250,50,100,0,
"角色1019",1019,1,10,1,10,20,18,12,180,120,100,0,
"角色1020",1020,1,10,1,10,20,18,12,180,120,100,0,
"角色1021",1021,1,11,1,15,10,20,15,200,150,100,0,
"角色1022",1022,1,11,1,15,10,20,15,200,150,100,0,
"角色1023",1023,1,12,1,10,10,15,15,150,250,100,0,
"角色1024",1024,1,12,1,10,10,15,15,150,250,100,0,
"npc",2001,3,1,1,10,10,15,15,150,250,100,0,
"主动怪",3001,4,1,1,10,10,15,15,150,250,100,0,
"boss怪",3002,5,1,1,10,10,15,15,150,250,100, 0 

